Name	RawCount	Condition	Log10 Count
hsa-miR-425-5p	8.177254976	Young	0.91260754
hsa-miR-181a-3p	8.157592706	Young	0.911562018
hsa-miR-26a-2-3p	8.153466655	Young	0.911342299
hsa-miR-3127-3p	7.981339315	Young	0.902075775
hsa-miR-190a-5p	7.961751889	Young	0.90100864
hsa-miR-1255a	7.956939603	Young	0.900746062
hsa-miR-30d-3p	7.719900266	Young	0.88761169
hsa-miR-497-5p	7.655344295	Young	0.883964728
hsa-miR-3613-5p	7.519399071	Young	0.876183134
hsa-miR-582-3p	7.477065584	Young	0.87373119
hsa-miR-204-5p	7.430531203	Young	0.871019862
hsa-miR-378f	7.309906763	Young	0.863911838
hsa-miR-4699-3p	7.225224148	Young	0.858851325
hsa-miR-19b-3p	7.163525215	Young	0.855126794
hsa-miR-30c-1-3p	7.086894908	Young	0.850455993
hsa-miR-1255b-5p	7.075994777	Young	0.849787504
hsa-miR-483-5p	6.79671199	Young	0.832298867
hsa-miR-1278	6.710140323	Young	0.826731602
hsa-miR-372-3p	6.559045621	Young	0.816840652
hsa-miR-136-3p	6.419201099	Young	0.807480981
hsa-miR-489-3p	6.192430536	Young	0.791861144
hsa-miR-548ah-3p	6.18529776	Young	0.791360611
hsa-miR-34a-5p	6.113013263	Young	0.786255338
hsa-miR-675-5p	5.952017131	Young	0.774664173
hsa-miR-1287-5p	5.895704615	Young	0.770535716
hsa-miR-3148	5.831372726	Young	0.765770801
hsa-let-7c-3p	5.706622235	Young	0.756379124
hsa-miR-618	5.651747937	Young	0.752182784
hsa-miR-758-3p	5.571739238	Young	0.745990783
hsa-miR-204-3p	5.512503488	Young	0.741348877
hsa-miR-128-3p	5.504398971	Young	0.740709905
hsa-miR-1249-3p	5.428355767	Young	0.734668303
hsa-miR-485-5p	5.391879049	Young	0.731740141
hsa-miR-509-3-5p	5.389099076	Young	0.731516168
hsa-miR-1307-5p	5.198363045	Young	0.715866607
hsa-miR-4732-3p	5.192882267	Young	0.715408476
hsa-miR-485-3p	5.176008617	Young	0.713994991
hsa-miR-200c-3p	5.126230457	Young	0.709798127
hsa-miR-9-5p	5.072266475	Young	0.705202061
hsa-miR-329-3p	5.062501312	Young	0.704365149
hsa-miR-1304-5p	4.998317009	Young	0.698823797
hsa-miR-656-3p	4.966795838	Young	0.696076309
hsa-miR-1247-5p	4.924834019	Young	0.692391598
hsa-miR-4786-5p	4.78183951	Young	0.679594996
hsa-miR-4661-5p	4.623830137	Young	0.665001871
hsa-miR-15a-5p	4.558000829	Young	0.6587744
hsa-miR-337-3p	4.47092555	Young	0.650397438
hsa-miR-339-3p	4.466348664	Young	0.649952623
hsa-miR-576-3p	4.430846357	Young	0.646486691
hsa-miR-296-5p	4.349858923	Young	0.638475172
